NB,Tide,Kí_hiệu,Amoni (NH4+),Asen (As),Coliform,DO,Dầu mỡ khoáng,Florua (F-),Photphat (PO43-),Tổng chất  rắn lơ lửng (TSS),pH
NB1,CT,T02/22,0.32,0.0056,630,6.32,0.30,1.2,0.071,19.1,7.68
NB1,CT,T10/22,0.27,0.0042,700,6.24,0.32,0.52,0.042,16.7,7.92
NB1,CT,T12/22,0.28,0.0027,800,6.66,0.34,0.64,0.042,16.9,8.17
NB1,CT,T4/22,0.17,0.0049,260,6.26,0.32,1.1,0.063,21.0,7.97
NB1,CT,T6/22,0.15,0.0035,1300,6.33,0.36,1.0,0.056,24.7,7.83
NB1,CT,T8/22,0.36,0.0034,230,6.42,0.33,0.44,0.09,23.4,7.67
NB1,ĐT,T02/22,0.06,0.0031,230,6.39,0.31,0.78,0.039,14.8,7.74
NB1,ĐT,T10/22,0.14,0.0032,170,6.43,0.30,0.41,0.036,16.3,8.13
NB1,ĐT,T12/22,0.18,0.0019,230,6.62,0.31,0.46,0.032,15.7,8.23
NB1,ĐT,T4/22,0.032,0.0040,90,6.34,0.3,0.78,0.038,13.7,8.05
NB1,ĐT,T6/22,0.071,0.0026,110,6.25,0.31,0.53,0.026,15.3,8.01
NB1,ĐT,T8/22,0.21,0.0024,330,6.14,0.3,0.42,0.034,22.8,7.79
NB15,CT,T02/22,0.078,0.0028,1300,6.56,0.37,1.4,0.037,19.6,7.66
NB15,CT,T10/22,0.078,0.0026,940,6.29,0.33,0.72,0.039,18.1,8.16
NB15,CT,T12/22,0.065,0.0021,900,6.52,0.31,0.76,0.038,17.8,8.04
NB15,CT,T4/22,0.05,0.0038,1700,6.12,0.037,1.1,0.034,16.2,7.98
NB15,CT,T6/22,0.083,0.0029,1100,6.23,0.31,0.74,0.036,14.9,7.81
NB15,CT,T8/22,0.082,0.0036,790,6.4,0.32,0.56,0.038,12.3,7.65
NB15,ĐT,T02/22,0.039,0.0025,460,6.42,0.31,0.99,0.024,12.5,7.74
NB15,ĐT,T10/22,0.051,0.0025,170,6.42,0.39,0.68,0.026,18,8.22
NB15,ĐT,T12/22,0.059,0.0023,210,6.59,0.37,0.62,0.03,16.2,8.18
NB15,ĐT,T4/22,0.036,0.0025,330,6.25,0.32,0.29,0.021,12.5,8.08
NB15,ĐT,T6/22,0.049,0.0027,330,6.09,0.33,0.41,0.024,10.3,7.98
NB15,ĐT,T8/22,0.046,0.0021,400,6.09,0.37,0.52,0.023,11.7,7.78
NB16,CT,T02/22,0.054,0.0027,310,6.25,0.34,1.3,0.029,24.6,7.38
NB16,CT,T10/22,0.058,0.0037,900,6.53,0.32,0.52,0.034,25.1,7.81
NB16,CT,T12/22,0.062,0.0027,930,6.54,0.32,0.62,0.038,18.4,8.03
NB16,CT,T4/22,0.099,0.0051,340,6.04,0.33,1,0.038,23.1,8.14
NB16,CT,T6/22,0.096,0.0031,430,6.18,0.34,0.79,0.032,24.9,7.73
NB16,CT,T8/22,0.068,0.0042,340,6.29,0.3,0.56,0.024,24.1,7.68
NB16,ĐT,T02/22,0.032,0.0024,200,6.11,0.32,0.89,0.021,20.1,7.41
NB16,ĐT,T10/22,0.039,0.0028,600,6.34,0.37,0.47,0.028,25,7.92
NB16,ĐT,T12/22,0.043,0.0029,640,6.42,0.36,0.58,0.034,16.9,8.11
NB16,ĐT,T4/22,0.031,0.0044,330,6.19,0.3,0.9,0.024,17.4,8.24
NB16,ĐT,T6/22,0.038,0.0028,260,6.25,0.32,0.68,0.026,16.9,7.78
NB16,ĐT,T8/22,0.035,0.0028,200,6.03,0.36,0.53,0.02,20.9,7.87
NB2,CT,T02/22,0.28,0.0045,1100,6.64,0.4,1.1,0.089,24.7,7.71
NB2,CT,T10/22,0.21,0.0035,460,6.42,0.32,0.64,0.038,12.6,7.95
NB2,CT,T12/22,0.21,0.0033,500,6.55,0.37,0.88,0.036,12,8.13
NB2,CT,T4/22,0.13,0.0047,790,6.15,0.34,1.2,0.056,19.3,8.10
NB2,CT,T6/22,0.16,0.0034,800,6.62,0.32,0.94,0.07,18.7,7.69
NB2,CT,T8/22,0.36,0.004,700,6.34,0.34,0.63,0.064,16.1,7.63
NB2,ĐT,T02/22,0.11,0.0026,310,6.54,0.38,0.47,0.034,15.3,7.73
NB2,ĐT,T10/22,0.12,0.0024,310,6.57,0.31,0.59,0.034,12.4,8.04
NB2,ĐT,T12/22,0.15,0.0031,330,6.66,0.32,0.61,0.028,11.3,8.22
NB2,ĐT,T4/22,0.05,0.0036,460,6.44,0.36,0.24,0.036,12.1,8.14
NB2,ĐT,T6/22,0.07,0.0026,170,6.53,0.3,0.55,0.039,12.8,7.76
NB2,ĐT,T8/22,0.14,0.0034,900,6.03,0.31,0.49,0.034,12.7,7.84
NB3,CT,T02/22,0.13,0.0025,940,6.81,0.4,1.1,0.062,17.2,7.76
NB3,CT,T10/22,0.11,0.0028,340,6.46,0.34,0.73,0.038,13.7,8.08
NB3,CT,T12/22,0.12,0.0028,390,6.55,0.35,0.78,0.038,13.9,8.12
NB3,CT,T4/22,0.096,0.0028,630,6.44,0.32,0.6,0.042,18.1,7.86
NB3,CT,T6/22,0.13,0.0029,700,6.38,0.33,0.73,0.048,17.6,7.92
NB3,CT,T8/22,0.16,0.003,270,6.59,0.36,0.88,0.056,13.4,7.84
NB3,ĐT,T02/22,0.08,0.0021,70,6.82,0.35,0.76,0.023,13.6,7.83
NB3,ĐT,T10/22,0.073,0.0033,230,6.54,0.33,0.62,0.032,13.2,8.19
NB3,ĐT,T12/22,0.078,0.0029,220,6.53,0.31,0.64,0.03,13.1,8.22
NB3,ĐT,T4/22,,0.0024,170,6.31,0.37,0.39,0.026,13.4,7.93
NB3,ĐT,T6/22,0.057,0.0021,220,6.34,0.35,0.34,0.029,11.5,8.02
NB3,ĐT,T8/22,0.14,0.0028,50,6.19,0.32,0.71,0.032,12.9,7.93
NB4,CT,T02/22,0.16,0.0048,790,6.84,0.39,1.4,0.07,30.4,7.84
NB4,CT,T10/22,0.16,0.0027,800,6.62,0.36,0.73,0.03,13.2,8.14
NB4,CT,T12/22,0.15,0.0020,700,6.52,0.37,0.80,0.04,12.8,8.19
NB4,CT,T4/22,0.12,0.0042,1100,6.45,0.32,0.81,0.06,29.1,8.19
NB4,CT,T6/22,0.13,0.0046,2200,6.73,0.33,0.83,0.06,25.1,7.87
NB4,CT,T8/22,0.22,0.0027,630,6.62,0.37,0.83,0.04,28.4,7.78
NB4,ĐT,T02/22,0.07,0.0034,40,6.66,0.32,1,0.02,12.8,7.89
NB4,ĐT,T10/22,0.09,0.0027,220,6.72,0.31,0.5,0.03,13.1,8.22
NB4,ĐT,T12/22,0.06,0.0023,120,6.45,0.33,0.66,0.03,11.7,8.27
NB4,ĐT,T4/22,0.09,0.0031,80,6.15,0.31,0.74,0.04,11.6,8.28
NB4,ĐT,T6/22,0.1,0.0029,40,6.69,0.32,0.66,0.02,12,7.98
NB4,ĐT,T8/22,0.13,0.0019,110,6.67,0.33,0.69,0.03,11.9,8.17
NB5,CT,T02/22,0.32,0.0056,630,6.32,0.3,1.2,0.071,19.1,7.68
NB5,CT,T10/22,0.27,0.0042,700,6.24,0.32,0.52,0.042,25,7.92
NB5,CT,T12/22,0.28,0.0027,800,6.66,0.34,0.64,0.042,25,8.17
NB5,CT,T4/22,0.17,0.0049,260,6.26,0.32,1.1,0.063,21,7.97
NB5,CT,T6/22,0.15,0.0035,1300,6.33,0.36,1,0.056,24.7,7.83
NB5,CT,T8/22,0.36,0.0034,230,6.42,0.33,0.44,0.09,25,7.67
NB5,ĐT,T02/22,0.06,0.0031,230,6.39,0.31,0.78,0.039,14.8,7.74
NB5,ĐT,T10/22,0.14,0.0032,170,6.43,0.3,0.41,0.036,16.3,8.13
NB5,ĐT,T12/22,0.18,0.0019,230,6.62,0.31,0.46,0.032,15.7,8.25
NB5,ĐT,T4/22,0.032,0.004,90,6.34,0.3,0.78,0.038,13.7,8.05
NB5,ĐT,T6/22,0.071,0.0026,110,6.25,0.31,0.53,0.026,15.3,8.01
NB5,ĐT,T8/22,0.21,0.0024,330,6.14,0.3,0.42,0.034,22.8,7.79
NB6,CT,T02/22,0.38,0.0032,500,6.94,0.35,1.5,0.094,22.6,8.08
NB6,CT,T10/22,0.21,0.003,800,6.48,0.36,1.5,0.04,19.2,8.18
NB6,CT,T12/22,0.23,0.0026,1100,6.5,0.37,0.93,0.048,20.5,8.22
NB6,CT,T4/22,0.7,0.0039,790,6.62,0.38,0.54,0.055,23.7,7.81
NB6,CT,T6/22,0.84,0.0037,630,6.12,0.36,0.6,0.075,27.8,8.13
NB6,CT,T8/22,0.25,0.0042,700,6.72,0.34,1.1,0.069,32.5,8
NB6,ĐT,T02/22,0.31,0.0026,200,6.79,0.31,0.85,0.071,16.8,8.18
NB6,ĐT,T10/22,0.086,0.0034,220,6.52,0.33,0.84,0.042,19,8.34
NB6,ĐT,T12/22,0.12,0.0038,260,6.4,0.35,0.78,0.042,19.7,8.23
NB6,ĐT,T4/22,0.46,0.0033,310,6.71,0.33,0.32,0.063,18.2,7.88
NB6,ĐT,T6/22,0.69,0.0028,220,6.45,0.32,0.41,0.056,18.9,8.22
NB6,ĐT,T8/22,0.11,0.0027,260,6.23,0.32,0.77,0.09,31.9,8.18
